line;track;km;geometry_type;radius;arrow;theoric_width;radius_width;use_width;project_cant
1;2;7907.5;Recta;inf;0;0;0;0;0
1;2;7907.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7908;Recta;inf;0;0;0;0;0
1;2;7908.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7908.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7908.75;Recta;inf;0;0;0;0;0
1;2;7909;Recta;inf;4.94E-05;0;0;0;0
1;2;7909.25;Recta;inf;0;0;0;0;0
1;2;7909.5;Recta;inf;0;0;0;0;0
1;2;7909.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7910;Recta;inf;1.16E-07;0;0;0;0
1;2;7910.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7910.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7910.75;Recta;inf;0;0;0;0;0
1;2;7911;Recta;inf;9.31E-07;0;0;0;0
1;2;7911.25;Recta;inf;0;0;0;0;0
1;2;7911.5;Recta;inf;0;0;0;0;0
1;2;7911.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7912;Recta;inf;9.39E-07;0;0;0;0
1;2;7912.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7912.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7912.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7913;Recta;inf;0;0;0;0;0
1;2;7913.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7913.5;Recta;inf;0;0;0;0;0
1;2;7913.75;Recta;inf;7.03E-05;0;0;0;0
1;2;7914;Recta;inf;1.16E-07;0;0;0;0
1;2;7914.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7914.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7914.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7915;Recta;inf;0;0;0;0;0
1;2;7915.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7915.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7915.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7916;Recta;inf;9.39E-07;0;0;0;0
1;2;7916.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7916.5;Recta;inf;0;0;0;0;0
1;2;7916.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7917;Recta;inf;0;0;0;0;0
1;2;7917.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7917.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7917.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7918;Recta;inf;1.16E-07;0;0;0;0
1;2;7918.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7918.5;Recta;inf;5.03E-05;0;0;0;0
1;2;7918.75;Recta;inf;7.10E-05;0;0;0;0
1;2;7919;Recta;inf;0;0;0;0;0
1;2;7919.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7919.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7919.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7920;Recta;inf;1.16E-07;0;0;0;0
1;2;7920.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7920.5;Recta;inf;0;0;0;0;0
1;2;7920.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7921;Recta;inf;1.16E-07;0;0;0;0
1;2;7921.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7921.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7921.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7922;Recta;inf;0;0;0;0;0
1;2;7922.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7922.5;Recta;inf;0;0;0;0;0
1;2;7922.75;Recta;inf;0;0;0;0;0
1;2;7923;Recta;inf;1.16E-07;0;0;0;0
1;2;7923.25;Recta;inf;5.03E-05;0;0;0;0
1;2;7923.5;Recta;inf;5.03E-05;0;0;0;0
1;2;7923.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7924;Recta;inf;0;0;0;0;0
1;2;7924.25;Recta;inf;0;0;0;0;0
1;2;7924.5;Recta;inf;0;0;0;0;0
1;2;7924.75;Recta;inf;0;0;0;0;0
1;2;7925;Recta;inf;1.16E-07;0;0;0;0
1;2;7925.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7925.5;Recta;inf;0;0;0;0;0
1;2;7925.75;Recta;inf;9.39E-07;0;0;0;0
1;2;7926;Recta;inf;0;0;0;0;0
1;2;7926.25;Recta;inf;0;0;0;0;0
1;2;7926.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7926.75;Recta;inf;0;0;0;0;0
1;2;7927;Recta;inf;1.16E-07;0;0;0;0
1;2;7927.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7927.5;Recta;inf;0;0;0;0;0
1;2;7927.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7928;Recta;inf;0;0;0;0;0
1;2;7928.25;Recta;inf;5.03E-05;0;0;0;0
1;2;7928.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7928.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7929;Recta;inf;1.16E-07;0;0;0;0
1;2;7929.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7929.5;Recta;inf;0;0;0;0;0
1;2;7929.75;Recta;inf;9.31E-07;0;0;0;0
1;2;7930;Recta;inf;0;0;0;0;0
1;2;7930.25;Recta;inf;0;0;0;0;0
1;2;7930.5;Recta;inf;0;0;0;0;0
1;2;7930.75;Recta;inf;9.39E-07;0;0;0;0
1;2;7931;Recta;inf;0;0;0;0;0
1;2;7931.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7931.5;Recta;inf;0;0;0;0;0
1;2;7931.75;Recta;inf;0;0;0;0;0
1;2;7932;Recta;inf;1.16E-07;0;0;0;0
1;2;7932.25;Recta;inf;0;0;0;0;0
1;2;7932.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7932.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7933;Recta;inf;5.03E-05;0;0;0;0
1;2;7933.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7933.5;Recta;inf;0;0;0;0;0
1;2;7933.75;Recta;inf;0;0;0;0;0
1;2;7934;Recta;inf;1.16E-07;0;0;0;0
1;2;7934.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7934.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7934.75;Recta;inf;9.39E-07;0;0;0;0
1;2;7935;Recta;inf;0;0;0;0;0
1;2;7935.25;Recta;inf;0;0;0;0;0
1;2;7935.5;Recta;inf;0;0;0;0;0
1;2;7935.75;Recta;inf;0;0;0;0;0
1;2;7936;Recta;inf;0;0;0;0;0
1;2;7936.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7936.5;Recta;inf;0;0;0;0;0
1;2;7936.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7937;Recta;inf;0;0;0;0;0
1;2;7937.25;Recta;inf;0;0;0;0;0
1;2;7937.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7937.75;Recta;inf;5.03E-05;0;0;0;0
1;2;7938;Recta;inf;5.03E-05;0;0;0;0
1;2;7938.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7938.5;Recta;inf;4.99E-05;0;0;0;0
1;2;7938.75;Recta;inf;0;0;0;0;0
1;2;7939;Recta;inf;5.01E-05;0;0;0;0
1;2;7939.25;Recta;inf;0;0;0;0;0
1;2;7939.5;Recta;inf;4.99E-05;0;0;0;0
1;2;7939.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7940;Recta;inf;5.01E-05;0;0;0;0
1;2;7940.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7940.5;Recta;inf;5.00E-05;0;0;0;0
1;2;7940.75;Recta;inf;0;0;0;0;0
1;2;7941;Recta;inf;5.01E-05;0;0;0;0
1;2;7941.25;Recta;inf;0;0;0;0;0
1;2;7941.5;Recta;inf;4.99E-05;0;0;0;0
1;2;7941.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7942;Recta;inf;4.99E-05;0;0;0;0
1;2;7942.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7942.5;Recta;inf;7.10E-05;0;0;0;0
1;2;7942.75;Recta;inf;4.94E-05;0;0;0;0
1;2;7943;Recta;inf;4.99E-05;0;0;0;0
1;2;7943.25;Recta;inf;0;0;0;0;0
1;2;7943.5;Recta;inf;4.99E-05;0;0;0;0
1;2;7943.75;Recta;inf;0;0;0;0;0
1;2;7944;Recta;inf;5.01E-05;0;0;0;0
1;2;7944.25;Recta;inf;0;0;0;0;0
1;2;7944.5;Recta;inf;5.00E-05;0;0;0;0
1;2;7944.75;Recta;inf;0;0;0;0;0
1;2;7945;Recta;inf;5.01E-05;0;0;0;0
1;2;7945.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7945.5;Recta;inf;5.00E-05;0;0;0;0
1;2;7945.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7946;Recta;inf;5.01E-05;0;0;0;0
1;2;7946.25;Recta;inf;0;0;0;0;0
1;2;7946.5;Recta;inf;4.99E-05;0;0;0;0
1;2;7946.75;Recta;inf;0;0;0;0;0
1;2;7947;Recta;inf;4.99E-05;0;0;0;0
1;2;7947.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7947.5;Recta;inf;7.10E-05;0;0;0;0
1;2;7947.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7948;Recta;inf;4.99E-05;0;0;0;0
1;2;7948.25;Recta;inf;0;0;0;0;0
1;2;7948.5;Recta;inf;0;0;0;0;0
1;2;7948.75;Recta;inf;0;0;0;0;0
1;2;7949;Recta;inf;0;0;0;0;0
1;2;7949.25;Recta;inf;0;0;0;0;0
1;2;7949.5;Recta;inf;9.39E-07;0;0;0;0
1;2;7949.75;Recta;inf;0;0;0;0;0
1;2;7950;Recta;inf;1.16E-07;0;0;0;0
1;2;7950.25;Recta;inf;0;0;0;0;0
1;2;7950.5;Recta;inf;0;0;0;0;0
1;2;7950.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7951;Recta;inf;0;0;0;0;0
1;2;7951.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7951.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7951.75;Recta;inf;0;0;0;0;0
1;2;7952;Recta;inf;0;0;0;0;0
1;2;7952.25;Recta;inf;4.94E-05;0;0;0;0
1;2;7952.5;Recta;inf;0;0;0;0;0
1;2;7952.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7953;Recta;inf;1.16E-07;0;0;0;0
1;2;7953.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7953.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7953.75;Recta;inf;0;0;0;0;0
1;2;7954;Recta;inf;0;0;0;0;0
1;2;7954.25;Recta;inf;0;0;0;0;0
1;2;7954.5;Recta;inf;0;0;0;0;0
1;2;7954.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7955;Recta;inf;1.16E-07;0;0;0;0
1;2;7955.25;Recta;inf;9.31E-07;0;0;0;0
1;2;7955.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7955.75;Recta;inf;0;0;0;0;0
1;2;7956;Recta;inf;0;0;0;0;0
1;2;7956.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7956.5;Recta;inf;0;0;0;0;0
1;2;7956.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7957;Recta;inf;5.03E-05;0;0;0;0
1;2;7957.25;Recta;inf;4.94E-05;0;0;0;0
1;2;7957.5;Recta;inf;0;0;0;0;0
1;2;7957.75;Recta;inf;0;0;0;0;0
1;2;7958;Recta;inf;0;0;0;0;0
1;2;7958.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7958.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7958.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7959;Recta;inf;1.16E-07;0;0;0;0
1;2;7959.25;Recta;inf;9.31E-07;0;0;0;0
1;2;7959.5;Recta;inf;0;0;0;0;0
1;2;7959.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7960;Recta;inf;0;0;0;0;0
1;2;7960.25;Recta;inf;9.39E-07;0;0;0;0
1;2;7960.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7960.75;Recta;inf;0;0;0;0;0
1;2;7961;Recta;inf;1.16E-07;0;0;0;0
1;2;7961.25;Recta;inf;0;0;0;0;0
1;2;7961.5;Recta;inf;0;0;0;0;0
1;2;7961.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7962;Recta;inf;5.03E-05;0;0;0;0
1;2;7962.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7962.5;Recta;inf;0;0;0;0;0
1;2;7962.75;Recta;inf;0;0;0;0;0
1;2;7963;Recta;inf;0;0;0;0;0
1;2;7963.25;Recta;inf;0;0;0;0;0
1;2;7963.5;Recta;inf;0;0;0;0;0
1;2;7963.75;Recta;inf;4.99E-05;0;0;0;0
1;2;7964;Recta;inf;1.16E-07;0;0;0;0
1;2;7964.25;Recta;inf;5.01E-05;0;0;0;0
1;2;7964.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7964.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7965;Recta;inf;0;0;0;0;0
1;2;7965.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7965.5;Recta;inf;0;0;0;0;0
1;2;7965.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7966;Recta;inf;1.16E-07;0;0;0;0
1;2;7966.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7966.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7966.75;Recta;inf;7.10E-05;0;0;0;0
1;2;7967;Recta;inf;0;0;0;0;0
1;2;7967.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7967.5;Recta;inf;0;0;0;0;0
1;2;7967.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7968;Recta;inf;1.16E-07;0;0;0;0
1;2;7968.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7968.5;Recta;inf;0;0;0;0;0
1;2;7968.75;Recta;inf;4.99E-05;0;0;0;0
1;2;7969;Recta;inf;0;0;0;0;0
1;2;7969.25;Recta;inf;5.01E-05;0;0;0;0
1;2;7969.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7969.75;Recta;inf;4.99E-05;0;0;0;0
1;2;7970;Recta;inf;9.39E-07;0;0;0;0
1;2;7970.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7970.5;Recta;inf;0;0;0;0;0
1;2;7970.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7971;Recta;inf;0;0;0;0;0
1;2;7971.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7971.5;Recta;inf;5.03E-05;0;0;0;0
1;2;7971.75;Recta;inf;7.10E-05;0;0;0;0
1;2;7972;Recta;inf;1.16E-07;0;0;0;0
1;2;7972.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7972.5;Recta;inf;0;0;0;0;0
1;2;7972.75;Recta;inf;5.01E-05;0;0;0;0
1;2;7973;Recta;inf;1.16E-07;0;0;0;0
1;2;7973.25;Recta;inf;4.99E-05;0;0;0;0
1;2;7973.5;Recta;inf;1.16E-07;0;0;0;0
