pk_geo;pk_client;line;track;category;direction;rail_typology_code;armament;fastening;rail_typology;Vcir;technical_location;inter_station;X;Y;created_by;data_version;huso
787275000;7872.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.6078;4381089.846;jgomez;0;30
787300000;7873;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.7092;4381089.617;jgomez;0;30
787325000;7873.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.8107;4381089.389;jgomez;0;30
787350000;7873.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.9121;4381089.16;jgomez;0;30
787375000;7873.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.0135;4381088.932;jgomez;0;30
787400000;7874;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.115;4381088.703;jgomez;0;30
787425000;7874.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.2164;4381088.475;jgomez;0;30
787450000;7874.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.3179;4381088.246;jgomez;0;30
787475000;7874.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.4193;4381088.018;jgomez;0;30
787500000;7875;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.5208;4381087.789;jgomez;0;30
787525000;7875.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.6222;4381087.561;jgomez;0;30
787550000;7875.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.7236;4381087.332;jgomez;0;30
787575000;7875.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.8251;4381087.104;jgomez;0;30
787600000;7876;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724269.9265;4381086.875;jgomez;0;30
787625000;7876.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.028;4381086.647;jgomez;0;30
787650000;7876.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.1294;4381086.418;jgomez;0;30
787675000;7876.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.2309;4381086.19;jgomez;0;30
787700000;7877;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.3323;4381085.961;jgomez;0;30
787725000;7877.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.4338;4381085.733;jgomez;0;30
787750000;7877.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.5352;4381085.504;jgomez;0;30
787775000;7877.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.6366;4381085.276;jgomez;0;30
787800000;7878;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.7381;4381085.047;jgomez;0;30
787825000;7878.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.8395;4381084.819;jgomez;0;30
787850000;7878.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724270.941;4381084.59;jgomez;0;30
787875000;7878.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.0424;4381084.362;jgomez;0;30
787900000;7879;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.1439;4381084.133;jgomez;0;30
787925000;7879.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.2453;4381083.905;jgomez;0;30
787950000;7879.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.3467;4381083.676;jgomez;0;30
787975000;7879.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.4482;4381083.448;jgomez;0;30
788000000;7880;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.5496;4381083.219;jgomez;0;30
788025000;7880.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.6511;4381082.991;jgomez;0;30
788050000;7880.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.7525;4381082.762;jgomez;0;30
788075000;7880.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.854;4381082.534;jgomez;0;30
788100000;7881;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724271.9554;4381082.305;jgomez;0;30
788125000;7881.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.0569;4381082.077;jgomez;0;30
788150000;7881.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.1583;4381081.848;jgomez;0;30
788175000;7881.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.2597;4381081.62;jgomez;0;30
788200000;7882;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.3612;4381081.391;jgomez;0;30
788225000;7882.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.4626;4381081.163;jgomez;0;30
788250000;7882.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.5641;4381080.934;jgomez;0;30
788275000;7882.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.6655;4381080.706;jgomez;0;30
